product_id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
150680,Gunmetal,Narrow,133 mm,John Jacobs Online,JJ E14378,3500,eyeframe,28,588,5.0,1,397
150777,Green,Narrow,131 mm,OJOS,OJ E14383,1700,eyeframe,0,181,0.0,,193
151655,,,,Alcon Air Optix,Alcon Air Optix Gemstone Green Zero Power Monthly,1200,contact_lens,0,105,0.0,,49997
151922,Green,Medium,136 mm,OJOS,OJ E14360,1700,eyeframe,0,292,0.0,,57
152677,Green,Wide,138 mm,John Jacobs Online,JJ E14690,3500,eyeframe,0,637,4.85,7,403
152946,Purple,Extra Wide,146 mm,John Jacobs,JJ E14730,3500,eyeframe,0,278,0.0,,666
152954,Tortoise,Extra Wide,139 mm,John Jacobs Online,JJ E14732,3500,eyeframe,0,138,0.0,,217
152962,Tortoise,Extra Wide,148 mm,John Jacobs,JJ E14734,3500,eyeframe,0,796,4.0,1,3
153078,Tortoise,Extra Wide,147 mm,John Jacobs Online,JJ E14753,3500,eyeframe,0,148,0.0,,407
201733,Green,Narrow,132 mm,OJOS,OJ E14894,1700,eyeframe,0,274,0.0,,26
206860,,,,Aquacolor,Aquacolor Tangy Brown Zero Power Monthly,399,contact_lens,0,239,0.0,,0
215334,Black,Medium,137 mm,John Jacobs,JJ S16632,6000,sunglasses,0,977,0.0,,571
215333,Gold,Medium,137 mm,John Jacobs,JJ S16632,6000,sunglasses,0,577,0.0,,646
215944,Tortoise,Medium,138 mm,Vincent Chase,VC S16732,2000,sunglasses,0,278,0.0,,1034
216049,Black,Medium,138 mm,Lenskart STUDIO,LK S16735,3000,sunglasses,0,305,0.0,,474
216396,Gunmetal,Medium,136 mm,Vincent Chase,VC E16787,1700,eyeframe,0,1033,0.0,,1931
216456,Black,Medium,136 mm,Vincent Chase,VC E16792,1700,eyeframe,0,1132,0.0,,1020
141735,Gold,Narrow,132 mm,John Jacobs Computer Glasses,JJ E11464,4000,eyeframe,2711,403,4.55,195,175
141767,Transparent,Medium,134 mm,John Jacobs Computer Glasses,JJ E12784,4000,eyeframe,2886,335,4.4,38,1182
