id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
212866,Blue,Wide,138 mm,Vincent Chase,VC E16454,2000,eyeframe,0,989,0.0,,1715
147661,Silver,Wide,138 mm,John Jacobs Online,JJ S12503,5000,sunglasses,570,5033,4.7,17,230
204381,Pink,8-12 yrs,126 mm,Hooper,HP E15083L,1000,eyeframe,0,11338,4.7,7,154
212324,Sky Blue,Medium,134 mm,Lenskart Air,LA E16347,2000,eyeframe,0,2081,0.0,,1250
148322,Grey,Extra Wide,142 mm,John Jacobs,JJ E12543XL,3500,eyeframe,321,2228,5.0,8,829
211222,Green,Medium,136 mm,Vincent Chase,VC E14208,2000,eyeframe,0,2103,0.0,,274
201419,Silver,Wide,140 mm,John Jacobs,JJ E13109,3500,eyeframe,0,3582,0.0,,428
210239,Green,Wide,139 mm,John Jacobs,JJ S15907,6000,sunglasses,0,1602,0.0,,36
209973,Blue,2-5 yrs,108 mm,Hooper,HP E10061S,1000,eyeframe,0,730,0.0,,11
215457,Blue,Wide,142 mm,Vincent Chase Polarized,VC S16662,2000,sunglasses,0,1448,0.0,,94
210411,Silver,Narrow,135 mm,Vincent Chase Polarized,VC S13118-N,2000,sunglasses,0,3289,0.0,,32
137925,Brown,Wide,139 mm,John Jacobs,JJ E13027,3500,eyeframe,1371,5573,4.25,17,1097
210461,Brown Demi,Medium,135 mm,Vincent Chase,VC E13453,2000,eyeframe,0,508,0.0,,1510
209278,Black,Wide,141 mm,Vincent Chase,VC S15744,1500,sunglasses,0,2182,0.0,,426
209974,Yellow,2-5 yrs,108 mm,Hooper,HP E10061S,1000,eyeframe,0,722,0.0,,55
149882,Black,5-8 yrs,120 mm,Hooper,HP E10085,1000,eyeframe,51,12147,4.85,8,192
206037,Light Blue,Extra Wide,142 mm,Lenskart Air,LA E15304,2000,eyeframe,0,12564,5.0,2,674
