id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
210954,Tortoise,Wide,139 mm,Lenskart Blu,LB E16064,2000,2000,non_power_reading,0,120,0.0,,LKBLUCE,283,False
210938,Blue,Narrow,131 mm,Lenskart Blu,LB E16059,2000,2000,non_power_reading,0,220,0.0,,LKBLUCE,241,False
210933,Blue,Medium,137 mm,Lenskart Blu,LB E16057,2000,2000,non_power_reading,0,209,0.0,,LKBLUCE,173,False
210932,Transparent,Medium,137 mm,Lenskart Blu,LB E16057,2000,2000,non_power_reading,0,400,0.0,,LKBLUCE,31,False
210942,Blue,Narrow,131 mm,Lenskart Blu,LB E16060,2000,2000,non_power_reading,0,101,0.0,,LKBLUCE,339,False
210937,Tortoise,Wide,139 mm,Lenskart Blu,LB E16058,2000,2000,non_power_reading,0,103,0.0,,LKBLUCE,78,False
210936,Brown,Wide,139 mm,Lenskart Blu,LB E16058,2000,2000,non_power_reading,0,164,0.0,,LKBLUCE,320,False
210941,Transparent,Narrow,131 mm,Lenskart Blu,LB E16060,2000,2000,non_power_reading,0,330,0.0,,LKBLUCE,100,False
210074,Green,Medium,137 mm,Lenskart Blu,LB E13738,2000,2000,non_power_reading,0,60,0.0,,LKBLUCE,335,False
210940,Black,Narrow,131 mm,Lenskart Blu,LB E16059,2000,2000,non_power_reading,0,166,0.0,,LKBLUCE,256,False
210073,Purple,Medium,137 mm,Lenskart Blu,LB E13738,1500,1500,non_power_reading,0,528,0.0,,LKBLUCE,14,False
210075,Grey,Wide,139 mm,Lenskart Blu,LB E13740,2000,2000,non_power_reading,0,276,0.0,,LKBLUCE,295,False
210072,Green,Medium,137 mm,Lenskart Blu,LB E13738,2000,2000,non_power_reading,0,138,0.0,,LKBLUCE,387,False
210079,Blue,Wide,140 mm,Lenskart Blu,LB E13737,2000,2000,non_power_reading,0,192,0.0,,LKBLUCE,353,False
210078,Orange,Wide,139 mm,Lenskart Blu,LB E13740,1500,1500,non_power_reading,0,325,0.0,,LKBLUCE,184,False
210076,Blue,Wide,139 mm,Lenskart Blu,LB E13740,2000,2000,non_power_reading,0,175,0.0,,LKBLUCE,348,False
210082,Pink,Wide,140 mm,Lenskart Blu,LB E13737,1500,1500,non_power_reading,0,201,0.0,,LKBLUCE,348,False
209951,Brown,Medium,134 mm,John Jacobs,JJ E10005,6000,5000,non_power_reading,0,68,0.0,,,161,False
210081,Purple,Wide,140 mm,Lenskart Blu,LB E13737,1500,1500,non_power_reading,0,200,0.0,,LKBLUCE,346,False
210071,Grey,Medium,137 mm,Lenskart Blu,LB E13738,2000,2000,non_power_reading,0,238,0.0,,LKBLUCE,279,False
208961,Navy,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,15895,4.6,309,,9899,False
209946,Transparent,Narrow,130 mm,John Jacobs,JJ E13005,6000,5000,non_power_reading,0,64,0.0,,,157,False
207491,Sand Dune,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,33612,4.7,36,LKBLUCE,1902,False
206971,Military Green	,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,8695,4.7,36,LKBLUCE,1,False
207775,Dusky Mauve,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,793,4.6,309,LKBLUCE,52,False
206973,Midnight Blue,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,25667,4.7,36,LKBLUCE,1848,False
200287,Green,Medium,137 mm,Lenskart Blu,LB E13739,1200,1200,non_power_reading,0,4405,4.5,150,LKBLUCE,112,False
200291,Black,Wide,141 mm,Lenskart Blu,LB E14061,1200,1200,non_power_reading,0,9287,4.5,50,LKBLUCE,641,False
152163,Green,Wide,139 mm,Lenskart Blu,LB E14453,1200,1200,non_power_reading,0,2641,4.35,42,LKBLUCE,642,False
200290,Green,Extra Wide,142 mm,Lenskart Blu,LB E14061,1200,1200,non_power_reading,0,4984,4.5,50,LKBLUCE,298,False
151032,Black,Wide,140 mm,Lenskart Blu,LB E14452,1500,1500,non_power_reading,246,2670,4.55,14,LKBLUCE,497,False
152164,Black,Wide,139 mm,Lenskart Blu,LB E14453,1200,1200,non_power_reading,0,4389,4.35,42,LKBLUCE,472,False
151033,Transparent,Wide,139 mm,Lenskart Blu,LB E14452,1200,1200,non_power_reading,1243,9268,4.55,14,LKBLUCE,242,False
152161,Cream White,Wide,140 mm,Lenskart Blu,LB E14452,1200,1200,non_power_reading,0,527,4.55,14,LKBLUCE,1288,False
150160,Grey Transparent,Wide,138 mm,Lenskart Blu,LB E14284,1500,1500,non_power_reading,0,2568,4.5,8,LKBLUCE,395,False
217443,Turquoise,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,401,0.0,,LKSHARK,2739,False
150159,Black,Wide,138 mm,Lenskart Blu,LB E14284,1500,1500,non_power_reading,0,747,4.5,8,LKBLUCE,452,False
217923,Electric Green,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,2,0.0,,LKSHARK,1066,False
217921,Electric Green,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,1,0.0,,VCEYE,495,False
217442,Turquoise,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,29,0.0,,LKSHARK,4217,False
217444,Turquoise,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,16,0.0,,LKSHARK,1470,False
213461,Blue Sky,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,1100,0.0,,LKSHARK,2356,False
215928,Dark Night,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,47,0.0,,LKSHARK,956,False
216331,Navy,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,44,0.0,,VCEYE,3387,False
216330,Jade Green,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,42,0.0,,VCEYE,4455,False
210946,Pink,Narrow,131 mm,Lenskart Blu,LB E16061,2000,2000,non_power_reading,0,866,5.0,3,LKBLUCE,272,False
212975,Greystone,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,75,0.0,,VCEYE,2993,False
210953,Transparent,Wide,139 mm,Lenskart Blu,LB E16064,2000,2000,non_power_reading,0,319,0.0,,LKBLUCE,353,False
210947,Pink,Wide,139 mm,Lenskart Blu,LB E16062,2000,2000,non_power_reading,0,474,0.0,,LKBLUCE,345,False
210952,Transparent,Wide,139 mm,Lenskart Blu,LB E16063,2000,2000,non_power_reading,0,648,0.0,,LKBLUCE,341,False
210950,Black,Wide,139 mm,Lenskart Blu,LB E16063,2000,2000,non_power_reading,0,636,0.0,,LKBLUCE,380,False
210929,Pink,Narrow,133 mm,Lenskart Blu,LB E16056,2000,2000,non_power_reading,0,829,0.0,,LKBLUCE,256,False
210931,Blue,Narrow,133 mm,Lenskart Blu,LB E16056,2000,2000,non_power_reading,0,489,0.0,,LKBLUCE,161,False
212419,Silver,Narrow,131 mm,Lenskart Blu,LB E16383,2000,2000,non_power_reading,0,25,0.0,,LKBLUCE,1455,False
210935,Black,Wide,139 mm,Lenskart Blu,LB E16058,2000,2000,non_power_reading,0,474,0.0,,LKBLUCE,413,False
210077,Pink,Wide,139 mm,Lenskart Blu,LB E13740,1500,1500,non_power_reading,0,762,0.0,,LKBLUCE,418,False
212423,Black,Narrow,131 mm,Lenskart Blu,LB E16384,2000,2000,non_power_reading,0,90,0.0,,LKBLUCE,1388,False
211891,Grey,Extra Wide,141 mm,Lenskart Blu,LB E16217,2000,2000,non_power_reading,0,3,0.0,,,902,False
212036,Red,5-8 yrs,120 mm,Hooper Computer Glasses,LK D16279,2000,2000,non_power_reading,0,39,0.0,,HOOPEREYE,215,False
212037,Blue,5-8 yrs,124 mm,Hooper Computer Glasses,LK D16280,2000,2000,non_power_reading,0,39,0.0,,HOOPEREYE,219,False
212042,Grey,5-8 yrs,124 mm,Hooper Computer Glasses,LK D16285,2000,2000,non_power_reading,0,19,0.0,,HOOPERKIDSCE,187,False
212014,Blue,5-8 yrs,122 mm,Hooper Computer Glasses,LK D16257,2000,2000,non_power_reading,0,25,0.0,,HOOPEREYE,236,False
212039,Black,5-8 yrs,120 mm,Hooper Computer Glasses,LK D16282,2000,2000,non_power_reading,0,23,0.0,,HOOPEREYE,226,False
212016,Black,5-8 yrs,122 mm,Hooper Computer Glasses,LK D16259,2000,2000,non_power_reading,0,10,0.0,,HOOPERKIDSCE,152,False
209054,Midnight Blue,Extra Narrow,125 mm,Lenskart Hustlr,HP D15011,1700,1700,non_power_reading,0,2320,0.0,,HOOPERKIDSCE,29,False
212038,Black,5-8 yrs,120 mm,Hooper Computer Glasses,LK D16281,2000,2000,non_power_reading,0,24,0.0,,,157,False
200267,Green,Wide,140 mm,Lenskart Blu,LB E14787,1200,1200,non_power_reading,0,4416,5.0,5,LKBLUCE,16,False
212040,Black,5-8 yrs,123 mm,Hooper Computer Glasses,LK D16283,2000,2000,non_power_reading,0,21,0.0,,HOOPERKIDSCE,141,False
200266,Blue,Extra Wide,143 mm,Lenskart Blu,LB E14786,1200,1200,non_power_reading,0,3766,4.25,4,LKBLUCE,31,False
212041,Black,5-8 yrs,124 mm,Hooper Computer Glasses,LK D16284,2000,2000,non_power_reading,0,22,0.0,,,136,False
209943,Pink Transparent,Medium,134 mm,John Jacobs,JJ E11515,6000,5000,non_power_reading,0,135,0.0,,,131,False
