,id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
163,217443,Turquoise,Medium,139 mm,Lenskart Hustlr,LB E14058-W,1700,1700,non_power_reading,0,382,0.0,,LKSHARK,2964,False
164,217442,Turquoise,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,28,0.0,,LKSHARK,4226,False
165,217444,Turquoise,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,16,0.0,,LKSHARK,1481,False
166,215928,Dark Night,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,43,0.0,,LKSHARK,959,False
167,216331,Navy,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,40,0.0,,VCEYE,2960,False
168,216330,Jade Green,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,41,0.0,,VCEYE,4456,False
169,213461,Blue Sky,Extra Wide,144 mm,Lenskart Hustlr,LB E14058-XW,1700,1700,non_power_reading,0,1093,0.0,,LKSHARK,2360,False
170,212975,Greystone,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,1700,1700,non_power_reading,0,72,0.0,,VCEYE,2996,False
171,210947,Pink,Wide,139 mm,Lenskart Blu,LB E16062,2000,2000,non_power_reading,0,471,0.0,,LKBLUCE,346,False
172,210946,Pink,Narrow,131 mm,Lenskart Blu,LB E16061,2000,2000,non_power_reading,0,857,5.0,3,LKBLUCE,278,False
173,210950,Black,Wide,139 mm,Lenskart Blu,LB E16063,2000,2000,non_power_reading,0,633,0.0,,LKBLUCE,384,False
174,210953,Transparent,Wide,139 mm,Lenskart Blu,LB E16064,2000,2000,non_power_reading,0,319,0.0,,LKBLUCE,353,False
175,210952,Transparent,Wide,139 mm,Lenskart Blu,LB E16063,2000,2000,non_power_reading,0,644,0.0,,LKBLUCE,340,False
176,210931,Blue,Narrow,133 mm,Lenskart Blu,LB E16056,2000,2000,non_power_reading,0,485,0.0,,LKBLUCE,164,False
177,210929,Pink,Narrow,133 mm,Lenskart Blu,LB E16056,2000,2000,non_power_reading,0,819,0.0,,LKBLUCE,263,False
178,210935,Black,Wide,139 mm,Lenskart Blu,LB E16058,2000,2000,non_power_reading,0,465,0.0,,LKBLUCE,421,False
179,210077,Pink,Wide,139 mm,Lenskart Blu,LB E13740,1500,1500,non_power_reading,0,758,0.0,,LKBLUCE,422,False
180,212419,Silver,Narrow,131 mm,Lenskart Blu,LB E16383,2000,2000,non_power_reading,0,23,0.0,,LKBLUCE,1455,False
181,212423,Black,Narrow,131 mm,Lenskart Blu,LB E16384,2000,2000,non_power_reading,0,84,0.0,,LKBLUCE,1387,False
182,211891,Grey,Extra Wide,141 mm,Lenskart Blu,LB E16217,2000,2000,non_power_reading,0,2,0.0,,,903,False
183,212037,Blue,5-8 yrs,124 mm,Hooper Computer Glasses,LK D16280,2000,2000,non_power_reading,0,37,0.0,,HOOPEREYE,220,False
184,212042,Grey,5-8 yrs,124 mm,Hooper Computer Glasses,LK D16285,2000,2000,non_power_reading,0,19,0.0,,HOOPERKIDSCE,187,False
185,212014,Blue,5-8 yrs,122 mm,Hooper Computer Glasses,LK D16257,2000,2000,non_power_reading,0,25,0.0,,HOOPEREYE,236,False
186,212039,Black,5-8 yrs,120 mm,Hooper Computer Glasses,LK D16282,2000,2000,non_power_reading,0,21,0.0,,HOOPEREYE,227,False
187,212036,Red,5-8 yrs,120 mm,Hooper Computer Glasses,LK D16279,2000,2000,non_power_reading,0,37,0.0,,HOOPEREYE,219,False
188,212016,Black,5-8 yrs,122 mm,Hooper Computer Glasses,LK D16259,2000,2000,non_power_reading,0,9,0.0,,HOOPERKIDSCE,152,False
189,212038,Black,5-8 yrs,120 mm,Hooper Computer Glasses,LK D16281,2000,2000,non_power_reading,0,24,0.0,,,157,False
190,212040,Black,5-8 yrs,123 mm,Hooper Computer Glasses,LK D16283,2000,2000,non_power_reading,0,21,0.0,,HOOPERKIDSCE,141,False
191,212041,Black,5-8 yrs,124 mm,Hooper Computer Glasses,LK D16284,2000,2000,non_power_reading,0,22,0.0,,,136,False
192,209943,Pink Transparent,Medium,134 mm,John Jacobs,JJ E11515,6000,5000,non_power_reading,0,135,0.0,,,130,False
193,209054,Midnight Blue,Extra Narrow,125 mm,Lenskart Hustlr,HP D15011,1700,1700,non_power_reading,0,2319,0.0,,HOOPERKIDSCE,36,False
194,200267,Green,Wide,140 mm,Lenskart Blu,LB E14787,1200,1200,non_power_reading,0,4399,5.0,5,LKBLUCE,33,False
195,200266,Blue,Extra Wide,143 mm,Lenskart Blu,LB E14786,1200,1200,non_power_reading,0,3748,4.25,4,LKBLUCE,49,False
196,152361,Black,8-12 yrs,126 mm,Hooper Computer Glasses,HP D10101M,1500,1500,non_power_reading,0,139,0.0,,HOOPERKIDSCE,150,False
197,152434,Grey,5-8 yrs,123 mm,Hooper Computer Glasses,HP D10089L,1500,1500,non_power_reading,0,1680,4.0,2,HOOPEREYE,18,False
198,152349,Black,8-12 yrs,136 mm,Hooper Computer Glasses,HP D10095L,1500,1500,non_power_reading,0,264,0.0,,HOOPERKIDSCE,106,False
199,152354,Black,8-12 yrs,138 mm,Hooper Computer Glasses,HP D10097L,1500,1500,non_power_reading,0,223,0.0,,HOOPERKIDSCE,130,False
