,id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
357,147285,Black,Narrow,133 mm,Lenskart Air,LA E11481,1700,1700,eyeframe,16094,46482,4.6,76,VCEYE,1781,False
358,201287,Transparent,Medium,136 mm,Lenskart Air,LA E14963,1700,1700,eyeframe,0,25484,4.5,39,VCEYE,1585,False
359,151528,Grey,Medium,136 mm,Lenskart Air,LA E14529,1700,1700,eyeframe,37,22970,4.85,27,VCEYE,4527,False
360,209756,Black,Wide,139 mm,Lenskart Air,LA E15846,1700,1700,eyeframe,0,9072,0.0,,VCEYE,4192,False
361,209775,Blue,Medium,137 mm,Lenskart Air,LA E15851,3000,3000,eyeframe,0,4147,0.0,,VCEYE,433,False
362,151529,Blue,Medium,136 mm,Lenskart Air,LA E14529,1700,1700,eyeframe,105,29685,4.85,27,VCEYE,2516,False
363,212972,Greystone,Narrow,134 mm,Lenskart Hustlr,LA E15417-N,1700,1700,eyeframe,0,7753,0.0,,Lenskart Hustlr,5518,False
364,151536,Blue,Medium,137 mm,Lenskart Air,LA E14532,1700,1700,eyeframe,292,34520,4.85,33,VCEYE,6570,False
365,145980,Blue,Narrow,132 mm,Lenskart Air,LA E11411-N,3000,3000,eyeframe,5355,45933,4.6,75,VCEYE,1999,False
366,150599,Grey,Medium,135 mm,Lenskart Air,LA E14368,1700,1700,eyeframe,3337,30555,4.7,64,VCEYE,1647,False
367,138049,Black,Extra Wide,145 mm,Lenskart Air,LA E13063,1700,1700,eyeframe,6476,49200,4.35,176,VCEYE,2531,False
368,217203,Sapphire,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,3627,0.0,,LKBLUCE,3701,False
369,210614,Mocha,Medium,141 mm,Lenskart Hustlr,VC S15999,2000,2000,sunglasses,0,5113,0.0,,VCSUN,101,False
370,201548,Green,Extra Narrow,128 mm,Lenskart Air,LA E11491,1700,1700,eyeframe,0,10870,4.7,37,VCEYE,646,False
371,208273,Sand Dune,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,1700,eyeframe,0,12344,4.6,297,VCEYE,595,False
372,217202,Olive,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,1700,eyeframe,0,3619,5.0,1,VCEYE,1154,False
373,209747,Grey,Wide,138 mm,Lenskart Air,LA E15844,1700,1700,eyeframe,0,10186,0.0,,VCEYE,4604,False
374,143890,Grey,Medium,136 mm,Lenskart Blu,LB E13529,2000,2000,non_power_reading,11206,18467,4.5,210,LKBLUCE,1555,False
375,206138,Silver,Wide,138 mm,Lenskart Air,LA E15324,3000,3000,eyeframe,0,5791,0.0,,VCEYE,971,False
376,201557,Green,Medium,135 mm,Lenskart Air,LA E12852,1700,1700,eyeframe,0,15492,4.65,226,VCEYE,465,False
377,146809,Black,Narrow,131 mm,Lenskart Air,LA E11478,1700,1700,eyeframe,5690,42429,4.7,58,VCEYE,2860,False
378,207689,Black,Medium,136 mm,Lenskart STUDIO,LK E15511,1700,1700,eyeframe,0,5733,4.5,2,,1125,False
379,210613,Blue Sky,Medium,141 mm,Lenskart Hustlr,VC S15999,2000,2000,sunglasses,0,8344,0.0,,VCSUN,1127,False
380,138893,Black,Medium,134 mm,Vincent Chase Online,VC E11797,1700,1700,eyeframe,0,5366,4.4,445,VCEYE,2163,False
381,135933,Blue,Medium,134 mm,Vincent Chase,VC E11860,1700,1700,eyeframe,3596,47909,4.55,180,VCEYE,3572,False
382,204183,Transparent,Narrow,133 mm,Lenskart Air,LA E15018,1700,1700,eyeframe,0,25813,4.85,7,VCEYE,6845,False
383,207781,Black,Narrow,130 mm,Vincent Chase,VC E11259,1700,1700,eyeframe,0,14638,4.45,532,VCEYE,7313,False
384,204179,Grey,Medium,135 mm,Lenskart Air,LA E15017,1700,1700,eyeframe,0,19309,4.8,12,VCEYE,1949,False
385,200563,Pink,Medium,135 mm,Lenskart Air,LA E14835,1700,1700,eyeframe,0,25619,4.75,37,VCEYE,1939,False
386,210142,Blue,Medium,135 mm,Lenskart Air,LA E12852,1700,1700,eyeframe,0,7439,0.0,,VCEYE,688,False
