id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
215769,Blue,Extra Narrow,129 mm,Vincent Chase,VC E16692,1700,1700,eyeframe,0,1153,0.0,,VCEYE,892,False
213374,Black,Extra Wide,142 mm,Lenskart Air,LA E16573,1700,1700,eyeframe,0,656,0.0,,VCEYE,1149,False
213690,Transparent,Wide,140 mm,John Jacobs,JJ E14008L,3500,3500,eyeframe,0,2532,0.0,,,1533,False
146624,Gunmetal,Narrow,132 mm,Vincent Chase,VC E13788,1700,1700,eyeframe,7488,61897,4.75,108,VCEYE,8798,False
146613,Rose Gold,Narrow,132 mm,Vincent Chase,VC E13783,1700,1700,eyeframe,10128,52065,4.75,88,VCEYE,7834,False
146021,Grey,Extra Wide,144 mm,Lenskart Air,LA E13519,1700,1700,eyeframe,4903,51950,4.75,174,VCEYE,4717,False
149021,Black,Wide,138 mm,Lenskart Air,LA E14101,1700,1700,eyeframe,2283,34934,4.7,36,VCEYE,2455,False
215763,Blue,Medium,134 mm,Vincent Chase,VC E16690,1700,1700,eyeframe,0,873,0.0,,VCEYE,1619,False
213359,Silver,Extra Narrow,129 mm,Lenskart Air,LA E16567,1700,1700,eyeframe,0,464,0.0,,VCEYE,1439,False
211282,Grey,Wide,139 mm,John Jacobs,JJ E16146,3500,3500,eyeframe,0,7760,5.0,1,JJBOGO,802,False
210271,Pink,Extra Narrow,136 mm,Vincent Chase,VC E13447,1700,1700,eyeframe,0,13973,0.0,,VCEYE,22216,False
145789,Black,Extra Wide,142 mm,Lenskart Air,LA E13646,1700,1700,eyeframe,4846,40510,4.45,63,VCEYE,236,False
200552,Transparent,Extra Wide,142 mm,Lenskart Air,LA E14832,1700,1700,eyeframe,0,36010,4.55,64,VCEYE,2636,False
215761,Blue,Narrow,133 mm,Vincent Chase,VC E16689,1700,1700,eyeframe,0,2779,0.0,,VCEYE,66,False
213351,Silver,Extra Narrow,129 mm,Lenskart Air,LA E16564,1700,1700,eyeframe,0,316,0.0,,VCEYE,1673,False
211190,Black,Wide,138 mm,John Jacobs,JJ E16115,3500,3500,eyeframe,0,4577,0.0,,JJBOGO,2900,False
201622,Grey,Extra Narrow,128 mm,Vincent Chase,VC E14974,1700,1700,eyeframe,0,23496,4.75,17,VCEYE,137,False
134745,Black,Wide,138 mm,Vincent Chase,VC E12395,1700,1700,eyeframe,15718,81820,4.6,211,VCEYE,4663,False
206722,Blue,Wide,138 mm,Lenskart Air,LA E15389,1700,1700,eyeframe,0,11914,0.0,,VCEYE,624,False
136711,Black,Medium,134 mm,Lenskart Air,LA E12852,1700,1700,eyeframe,6106,58580,4.65,226,VCEYE,3783,False
216843,Purple,Medium,136 mm,Vincent Chase,VC E16906,1700,1700,eyeframe,0,595,0.0,,VCEYE,952,False
213355,Gold,Narrow,133 mm,Lenskart Air,LA E16565,1700,1700,eyeframe,0,385,0.0,,VCEYE,865,False
127290,Tortoise,Wide,140 mm,John Jacobs,JJ S11089,5000,5000,sunglasses,2555,39695,4.55,34,JJSUN,947,False
149313,Blue,Wide,140 mm,Vincent Chase,VC E11797-L,1700,1700,eyeframe,1166,39385,4.55,32,VCEYE,1051,False
147491,Black,Wide,135 mm,Vincent Chase,VC E13919,1700,1700,eyeframe,4251,25571,4.55,52,VCEYE,4465,False
145983,Blue,Extra Wide,142 mm,Lenskart Air,LA E11412-N,3000,3000,eyeframe,5293,54422,4.5,111,VCEYE,4208,False
151703,Grey,Medium,136 mm,Lenskart Air,LA E14573,1700,1700,eyeframe,0,24511,4.7,65,VCEYE,2588,False
216455,Blue,Medium,136 mm,Vincent Chase,VC E16792,1700,1700,eyeframe,0,683,0.0,,VCEYE,878,False
213367,Black,Medium,136 mm,Lenskart Air,LA E16570,1700,1700,eyeframe,0,1028,0.0,,VCEYE,915,False
133686,Black,Narrow,132 mm,John Jacobs,JJ E11318,5000,5000,eyeframe,5288,57478,4.5,108,JJBOGO,5442,False
149080,Black,Extra Narrow,129 mm,Vincent Chase,VC E14113,1700,1700,eyeframe,2969,36875,4.55,35,VCEYE,4601,False
148488,Black,Narrow,130 mm,Vincent Chase,VC E14035,1700,1700,eyeframe,6584,41593,4.7,55,VCEYE,6494,False
149022,Pink,Wide,138 mm,Lenskart Air,LA E14101,1700,1700,eyeframe,1740,21752,4.7,36,VCEYE,3555,False
146273,Black,Extra Wide,144 mm,Lenskart Air,LA E11289,1700,1700,eyeframe,13084,66096,4.6,252,VCEYE,2424,False
216398,Black,Medium,136 mm,Vincent Chase,VC E16788,1700,1700,eyeframe,0,1075,0.0,,VCEYE,787,False
213369,Blue,Wide,141 mm,Lenskart Air,LA E16571,1700,1700,eyeframe,0,958,0.0,,VCEYE,1100,False
201373,Black,Wide,140 mm,John Jacobs,JJ E11292,5000,5000,eyeframe,0,9986,4.45,158,JJEYE,1553,False
148157,Grey,Narrow,133 mm,Vincent Chase,VC S13984,2000,2000,sunglasses,2609,30236,4.7,27,VCSUN,2158,False
201103,Gold,Wide,139 mm,Vincent Chase,VC E14938,1700,1700,eyeframe,0,27558,4.6,31,VCEYE,2278,False
151704,Sky Blue,Medium,136 mm,Lenskart Air,LA E14573,1700,1700,eyeframe,0,39642,4.7,65,VCEYE,1801,False
137980,Black,Narrow,132 mm,Lenskart Air,LA E13071,1700,1700,eyeframe,12149,32256,4.65,201,VCEYE,3273,False
216383,Black,Medium,136 mm,Vincent Chase,VC E16783,1700,1700,eyeframe,0,958,0.0,,VCEYE,2189,False
213365,Black,Narrow,133 mm,Lenskart Air,LA E16569,1700,1700,eyeframe,0,617,0.0,,VCEYE,1013,False
137920,Black,Wide,140 mm,John Jacobs,JJ S13025,5000,5000,sunglasses,1907,28717,4.55,16,JJSUN,1091,False
149190,Transparent,Narrow,131 mm,Vincent Chase,VC E10502,1700,1700,eyeframe,1579,43813,4.45,137,VCEYE,11417,False
145512,Black,Wide,140 mm,Vincent Chase,VC E13624,1700,1700,eyeframe,5074,60358,4.75,108,VCEYE,4033,False
147284,Blue,Extra Wide,143 mm,Lenskart Air,LA E11413,3000,3000,eyeframe,2638,32665,4.65,109,VCEYE,647,False
145696,Blue,Wide,140 mm,Lenskart Air,LA E13643,1700,1700,eyeframe,827,33205,4.6,92,VCEYE,5358,False
216451,Blue,Medium,136 mm,Vincent Chase,VC E16785,1700,1700,eyeframe,0,649,0.0,,VCEYE,1654,False
213371,Black,Medium,136 mm,Lenskart Air,LA E16572,1700,1700,eyeframe,0,1363,0.0,,VCEYE,1191,False
211193,Black,Wide,141 mm,John Jacobs,JJ E16116,3500,3500,eyeframe,0,7781,0.0,,JJBOGO,320,False
149058,Blue,Extra Wide,142 mm,Vincent Chase,VC E14105,1700,1700,eyeframe,3042,36848,4.65,61,VCEYE,3094,False
145974,Black,Extra Narrow,123 mm,Lenskart Air,LA 0353,1700,1700,eyeframe,4240,59847,4.75,79,VCEYE,1345,False
200553,Blue,Extra Wide,142 mm,Lenskart Air,LA E14832,1700,1700,eyeframe,0,23792,4.55,64,VCEYE,815,False
212867,Black,Wide,138 mm,Vincent Chase,VC E16455,1700,1700,eyeframe,0,635,0.0,,VCEYE,2068,False
211607,Black,Medium,136 mm,Lenskart Air,LA E16207,3000,3000,eyeframe,0,1434,0.0,,VCEYE,1059,False
205981,Black,Wide,141 mm,John Jacobs,JJ E15293,5000,5000,eyeframe,0,6641,4.5,2,JJEYE,366,False
148160,Gold,Narrow,133 mm,Vincent Chase,VC S13984,2000,2000,sunglasses,2532,28016,4.7,27,VCSUN,1904,False
209767,Grey,Medium,137 mm,Lenskart Air,LA E15849,3000,3000,eyeframe,0,5559,0.0,,VCEYE,1095,False
